Transaction Date,Amount,Description
2024-01-05,-45.32,SUNOCO GAS STATION #1234
2024-01-08,-125.67,WEGMANS GROCERY STORE
2024-01-10,-89.99,TARGET STORE #5678
2024-01-12,-15.99,Netflix Subscription
2024-01-15,-250.00,ELMIRA WATER BOARD
2024-01-18,-67.45,CVS/PHARMACY #9012
2024-01-20,-42.18,SUNOCO GAS STATION #1234
2024-01-22,-185.34,COSTCO WHOLESALE
2024-01-25,-12.99,Spotify Premium
2024-01-28,-95.50,VETERINARY CLINIC
2024-02-01,-14.99,Disney Plus
2024-02-03,-38.75,SUNOCO GAS STATION #1234
2024-02-05,-156.89,WEGMANS GROCERY STORE
2024-02-08,-25.00,EZPASS TOLL
2024-02-10,-89.99,AMAZON MARKETPLACE
2024-02-12,-75.00,CASELLA WASTE MANAGEMENT
2024-02-15,-49.99,CHEWY.COM PET SUPPLIES
2024-02-18,-145.67,TARGET STORE #5678
2024-02-20,-8.99,HULUPLUS STREAMING
2024-02-22,-35.50,SUNOCO GAS STATION #1234
2024-02-25,-220.00,COSTCO WHOLESALE
2024-02-28,-125.00,GOODYEAR AUTO SERVICE
2024-03-01,-15.99,PARAMOUNT+ STREAMING
2024-03-03,-42.89,SUNOCO GAS STATION #1234
2024-03-05,-98.45,WEGMANS GROCERY STORE
2024-03-08,-65.00,YMCA Rochester Membership
2024-03-10,-14.99,Audible Subscription
2024-03-12,-175.50,HOME DEPOT
2024-03-15,-89.99,AMAZON MARKETPLACE
2024-03-18,-45.00,HAPPY TAILS DOG GROOMING
2024-03-20,-38.25,SUNOCO GAS STATION #1234
2024-03-22,-135.78,TARGET STORE #5678
2024-03-25,-85.00,EMPIRE TELEPHONE
2024-03-28,-59.99,STEAMGAMES PURCHASE
2024-04-01,-15.99,Netflix Subscription
2024-04-03,-41.50,SUNOCO GAS STATION #1234
2024-04-05,-167.89,WEGMANS GROCERY STORE
2024-04-08,-150.00,Schweiger Dermatology
2024-04-10,-95.00,PETCO PET SUPPLIES
2024-04-12,-25.00,E-Z*PASSNY TOLL
2024-04-15,-245.00,COSTCO WHOLESALE
2024-04-18,-12.99,Spotify Premium
2024-04-20,-39.75,SUNOCO GAS STATION #1234
2024-04-22,-125.50,AMAZON MARKETPLACE
2024-04-25,-14.99,MAX.COM STREAMING
2024-04-28,-185.00,LOWES HOME IMPROVEMENT
